Stock,Trades,Target Hit,SL Hit,Open,Win Rate %,Avg SL %,Avg R:R,Avg PnL %,Total PnL %
HDFCBANK,56.0,29.0,26.0,0.0,51.8,2.05,0.91,-0.29,-16.48
ICICIBANK,67.0,31.0,35.0,0.0,46.3,2.09,0.91,0.07,4.93
INFY,42.0,27.0,15.0,0.0,64.3,2.7,0.66,-0.03,-1.05
RELIANCE,29.0,17.0,11.0,1.0,58.6,3.09,0.7,0.02,0.52
TCS,35.0,22.0,13.0,0.0,62.9,2.78,0.7,-0.08,-2.86
